,model,n_reference_groups,n_positive,n_negative,train_accuracy,test_accuracy,precision,recall,training_time,inference_time,embedding
17,KNeighborsClassifier(n_neighbors=3),50,20,20,0.7216666666666663,0.5686111111111111,0.29908299528248855,0.7700000000000001,0.0003774682680765788,0.005952401955922445,pca_10
18,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.00016996463139851888,8.70982805887858e-05,pca_10
19,LogisticRegression(),60,5,5,0.9983333333333333,0.6430158730158733,0.12608545791170195,0.8233333333333331,0.00824346939722697,0.00022780895233154297,pca_10
20,RidgeClassifier(),60,5,5,0.9983333333333333,0.5880952380952383,0.08193688691238427,0.7133333333333335,0.0018895387649536133,0.0002164443333943685,pca_10
21,SVC(),60,5,5,0.9816666666666666,0.7250793650793651,0.19746074001475036,0.8066666666666666,0.0004739085833231608,0.0004662116368611654,pca_10
22,RandomForestClassifier(),60,5,5,0.9983333333333333,0.6500000000000004,0.1361927120320539,0.82,0.14695180257161458,0.025331624348958335,pca_10
23,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8299999999999997,0.5200000000000001,0.09962198977668772,0.8466666666666668,0.0004529595375061035,0.005430761973063151,pca_10
24,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00014560222625732423,7.54078229268392e-05,pca_10
25,LogisticRegression(),57,10,10,0.9233333333333333,0.6759090909090908,0.24651822383194352,0.8033333333333335,0.008851309617360434,0.0001998424530029297,pca_10
26,RidgeClassifier(),57,10,10,0.8983333333333333,0.6516666666666668,0.2170754143406761,0.7916666666666666,0.001698450247446696,0.00019622246424357096,pca_10
27,SVC(),57,10,10,0.9050000000000001,0.7537878787878786,0.3285962592792059,0.8099999999999997,0.00045543511708577474,0.000571592648824056,pca_10
28,RandomForestClassifier(),57,10,10,0.9491666666666667,0.7142424242424243,0.27289981322272067,0.798333333333333,0.13286049763361613,0.022872730096181234,pca_10
29,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8083333333333336,0.5798484848484847,0.18884492380377232,0.8316666666666663,0.00039852062861124674,0.005187185605367025,pca_10
30,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.00013324817021687825,6.900231043497722e-05,pca_10
31,LogisticRegression(),50,20,20,0.7662500000000002,0.6286111111111111,0.34373633280604743,0.7024999999999996,0.00690079132715861,0.00017721255620320637,pca_10
32,RidgeClassifier(),50,20,20,0.7445833333333336,0.6281944444444445,0.3493998379151024,0.7099999999999997,0.0014918287595113119,0.0001668413480122884,pca_10
33,SVC(),50,20,20,0.7837500000000002,0.6881944444444443,0.4437840211960267,0.7274999999999995,0.00045656363169352214,0.0008181333541870117,pca_10
34,RandomForestClassifier(),50,20,20,0.8325,0.6748611111111111,0.4146835143974076,0.7324999999999998,0.11848670244216919,0.020830814043680826,pca_10
35,KNeighborsClassifier(n_neighbors=3),50,20,20,0.7216666666666666,0.5693055555555557,0.29271771053052775,0.7558333333333332,0.00034810702006022134,0.005212720235188802,pca_10
36,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.0001840074857076009,9.069442749023437e-05,pca_10
37,LogisticRegression(),60,5,5,0.9983333333333333,0.6660317460317462,0.13587026909204997,0.8433333333333334,0.009254082043965658,0.00023776690165201823,pca_10
38,RidgeClassifier(),60,5,5,1.0,0.6109523809523812,0.10939052452613618,0.7766666666666665,0.0019405285517374675,0.00023781061172485353,pca_10
39,SVC(),60,5,5,0.9783333333333332,0.73015873015873,0.19930595318613964,0.8533333333333333,0.0005074222882588704,0.0004742105801900228,pca_10
40,RandomForestClassifier(),60,5,5,1.0,0.6417460317460318,0.12349954103665571,0.8199999999999997,0.15158286889394124,0.027629160881042482,pca_10
41,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8199999999999998,0.5057142857142859,0.09609304254681701,0.9033333333333332,0.0004785339037577311,0.0057509541511535645,pca_10
42,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00015973647435506185,7.911920547485352e-05,pca_10
43,LogisticRegression(),57,10,10,0.9316666666666665,0.6619696969696969,0.22596570384082074,0.8066666666666664,0.010183493296305338,0.00020658572514851888,pca_10
44,RidgeClassifier(),57,10,10,0.9025000000000002,0.6318181818181817,0.2026516479391139,0.803333333333333,0.0019198099772135416,0.00021544297536214193,pca_10
45,SVC(),57,10,10,0.9141666666666669,0.7474242424242425,0.31375074093297634,0.8299999999999997,0.000705258051554362,0.0006398240725199382,pca_10
46,RandomForestClassifier(),57,10,10,0.95,0.6956060606060605,0.24827564385009096,0.8016666666666664,0.14869229793548583,0.027473656336466472,pca_10
47,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8133333333333332,0.5503030303030303,0.18074150327764313,0.8716666666666664,0.00045506954193115235,0.006194468339284261,pca_10
48,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.0001281420389811198,6.544987360636393e-05,pca_10
49,LogisticRegression(),50,20,20,0.7645833333333333,0.6233333333333333,0.33732431566169013,0.7150000000000001,0.006904276212056478,0.0001699209213256836,pca_10
50,RidgeClassifier(),50,20,20,0.7408333333333333,0.6252777777777779,0.3379387105502998,0.7125,0.0014594276746114096,0.00016373395919799805,pca_10
51,SVC(),50,20,20,0.7787500000000002,0.6991666666666667,0.46597992161731266,0.7216666666666669,0.00047946770985921223,0.0008501569430033366,pca_10
52,RandomForestClassifier(),50,20,20,0.8325,0.6933333333333335,0.44197000005203996,0.7483333333333334,0.11345072984695434,0.019960236549377442,pca_10
53,KNeighborsClassifier(n_neighbors=3),50,20,20,0.7220833333333331,0.5781944444444443,0.3028735870536983,0.7558333333333335,0.0003462711970011393,0.005337031682332357,pca_10
54,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.00015070835749308268,7.776816685994466e-05,pca_50
55,LogisticRegression(),60,5,5,1.0,0.7173015873015876,0.1920670820611066,0.8133333333333331,0.006725672880808512,0.00021682182947794595,pca_50
56,RidgeClassifier(),60,5,5,1.0,0.6977777777777779,0.1738027894476931,0.7933333333333334,0.00169526735941569,0.0001985311508178711,pca_50
57,SVC(),60,5,5,0.9933333333333333,0.796031746031746,0.26505777008260256,0.7833333333333333,0.0005009889602661133,0.0005877574284871419,pca_50
58,RandomForestClassifier(),60,5,5,1.0,0.688571428571429,0.15256403497954368,0.7166666666666666,0.13765923182169595,0.023040521144866943,pca_50
59,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8149999999999997,0.5196825396825396,0.12279616174552076,0.8799999999999997,0.0002562363942464193,0.004946994781494141,pca_50
60,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.0001395424207051595,7.25865364074707e-05,pca_50
61,LogisticRegression(),57,10,10,0.95,0.7172727272727271,0.2917691983400761,0.825,0.007862456639607747,0.00022045771280924478,pca_50
62,RidgeClassifier(),57,10,10,0.95,0.6784848484848484,0.24697977406924332,0.8166666666666667,0.00173033873240153,0.00021671056747436525,pca_50
63,SVC(),57,10,10,0.9408333333333333,0.8162121212121211,0.428317214251385,0.8033333333333331,0.000494372844696045,0.0009005784988403321,pca_50
64,RandomForestClassifier(),57,10,10,0.95,0.7477272727272726,0.31361361275606636,0.78,0.1308333476384481,0.022296027342478434,pca_50
65,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8133333333333334,0.5646969696969695,0.19536980331949977,0.8633333333333332,0.00023984511693318685,0.00484155813852946,pca_50
66,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.00015519460042317707,7.253090540568033e-05,pca_50
67,LogisticRegression(),50,20,20,0.8329166666666666,0.6631944444444444,0.40183254095732873,0.76,0.010847826798756918,0.00023205677668253582,pca_50
68,RidgeClassifier(),50,20,20,0.8329166666666666,0.5634722222222223,0.28567965442503696,0.7258333333333337,0.0017503619194030762,0.00019075473149617514,pca_50
69,SVC(),50,20,20,0.8162500000000004,0.7302777777777777,0.5218689119123209,0.7424999999999999,0.0005297660827636719,0.0015101909637451171,pca_50
70,RandomForestClassifier(),50,20,20,0.8329166666666666,0.6994444444444443,0.46755445639297805,0.7333333333333333,0.11841363509496053,0.01990375518798828,pca_50
71,KNeighborsClassifier(n_neighbors=3),50,20,20,0.7308333333333333,0.5606944444444444,0.29923043437274466,0.7558333333333331,0.00021758079528808594,0.005642338593800863,pca_50
72,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.0001539309819539388,8.04901123046875e-05,pca_50
73,LogisticRegression(),60,5,5,1.0,0.7252380952380953,0.182188544914785,0.8400000000000002,0.007284295558929443,0.00021083752314249676,pca_50
74,RidgeClassifier(),60,5,5,1.0,0.717777777777778,0.17803599117544308,0.8366666666666668,0.0016736388206481934,0.00020068883895874023,pca_50
75,SVC(),60,5,5,0.9983333333333333,0.7926984126984126,0.2662837990476567,0.8233333333333334,0.0004464824994405111,0.0005641659100850423,pca_50
76,RandomForestClassifier(),60,5,5,1.0,0.6974603174603174,0.1645551700365221,0.75,0.13767094612121583,0.023328948020935058,pca_50
77,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8666666666666661,0.5555555555555556,0.11106434146927265,0.8833333333333333,0.00025042692820231117,0.004751082261403402,pca_50
78,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00014170010884602865,7.412433624267578e-05,pca_50
79,LogisticRegression(),57,10,10,0.9483333333333335,0.7251515151515151,0.2983238782508875,0.8233333333333331,0.008158063888549805,0.00024315516153971354,pca_50
80,RidgeClassifier(),57,10,10,0.9483333333333335,0.6883333333333334,0.24728026024497696,0.8033333333333331,0.001767420768737793,0.00024396181106567383,pca_50
81,SVC(),57,10,10,0.9391666666666669,0.8053030303030303,0.4309622514765808,0.7899999999999999,0.0004981756210327148,0.0008799155553181966,pca_50
82,RandomForestClassifier(),57,10,10,0.9483333333333335,0.728787878787879,0.2969085571396382,0.765,0.13317733605702717,0.022363479932149252,pca_50
83,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8166666666666667,0.5646969696969697,0.20275811934757007,0.8516666666666665,0.00024305184682210285,0.004971619447072347,pca_50
